[Sun Mar 22 01:17:01 2015] [notice] Digest: generating secret for digest authentication ...
[Sun Mar 22 01:17:01 2015] [notice] Digest: done
[Sun Mar 22 01:17:01 2015] [notice] Apache/2.2.15 (Unix) DAV/2 PHP/5.4.34 configured -- resuming normal operations
[Mon Mar 23 12:50:18 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:18 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:18 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:18 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:18 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:28 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:28 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:28 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:28 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:28 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:28 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:28 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:39 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:39 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:39 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:39 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:39 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:39 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:39 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:49 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:49 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:49 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:49 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:49 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:49 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:49 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:59 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:59 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:59 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:59 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:59 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:59 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:50:59 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:51:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:51:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:51:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:51:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:51:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:51:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 12:51:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
